id	isolate	source	species	aspA	glnA	gltA	glyA	pgm	tkt	uncA	mapA
383	450878	lamb offal or meat	Campylobacter jejuni	2	1	1	3	2	1	3	
384	450887	lamb offal or meat	Campylobacter jejuni	2	1	1	3	2	1	5	
385	450894	lamb offal or meat	Campylobacter jejuni	2	1	1	3	2	1	3	
386	3745	human stool	Campylobacter jejuni	4	7	40	4	42	51	1	
387	451241	beef offal or meat	Campylobacter jejuni	2	1	1	3	2	1	5	
388	C403/93	lamb offal or meat	Campylobacter jejuni	2	1	1	3	2	1	5	
389	450716	lamb offal or meat	Campylobacter jejuni	43	1	1	3	2	1	6	
390	450749	lamb offal or meat	Campylobacter jejuni	2	1	1	3	2	1	5	
391	450827	beef offal or meat	Campylobacter jejuni	1	50	3	4	5	9	3	
392	450924	beef offal or meat	Campylobacter jejuni	10	27	43	19	6	18	7	
393	451024	beef offal or meat	Campylobacter jejuni	2	21	5	37	2	1	5	
394	451000	beef offal or meat	Campylobacter jejuni	2	1	5	37	2	1	5	
395	451043	beef offal or meat	Campylobacter jejuni	2	1	5	20	2	53	5	
396	451157	lamb offal or meat	Campylobacter jejuni	2	1	5	3	2	54	5	
397	450995	beef offal or meat	Campylobacter jejuni	2	21	5	37	60	1	5	
398	2258	cows milk	Campylobacter jejuni	1	2	3	4	5	9	3	
399	450724	lamb offal or meat	Campylobacter jejuni	2	1	1	3	2	1	3	
400	450736	lamb offal or meat	Campylobacter jejuni	9	25	2	10	22	3	6	
401	450759	beef offal or meat	Campylobacter jejuni	2	1	1	3	2	1	3	
402	450786	lamb offal or meat	Campylobacter jejuni	23	1	1	3	2	2	3	
403	450811	beef offal or meat	Campylobacter jejuni	2	4	2	2	6	1	5	
404	450829	lamb offal or meat	Campylobacter jejuni	2	1	12	3	2	1	5	
405	450859	lamb offal or meat	Campylobacter jejuni	4	7	10	4	1	7	1	
406	450877	lamb offal or meat	Campylobacter jejuni	1	2	3	4	5	9	3	
407	450925	beef offal or meat	Campylobacter jejuni	10	27	43	19	6	18	7	
408	450942	beef offal or meat	Campylobacter jejuni	10	23	16	19	6	18	7	
409	450959	lamb offal or meat	Campylobacter jejuni	2	1	5	3	2	1	5	
410	451007	lamb offal or meat	Campylobacter jejuni	2	21	5	37	2	1	5	
411	451077	lamb offal or meat	Campylobacter jejuni	2	1	5	3	2	1	5	
412	451189	beef offal or meat	Campylobacter jejuni	2	1	1	3	2	1	3	
413	451237	beef offal or meat	Campylobacter jejuni	2	1	12	3	2	1	5	
414	451167	lamb offal or meat	Campylobacter jejuni	2	21	5	37	2	1	5	
415	451198	lamb offal or meat	Campylobacter jejuni	2	21	5	37	2	1	5	
416	450708	lamb offal or meat	Campylobacter jejuni	1	2	3	4	5	9	3	
417	450876	lamb offal or meat	Campylobacter jejuni	2	1	21	3	2	1	5	
418	451057	lamb offal or meat	Campylobacter jejuni	10	27	43	19	6	18	7	
419	451093	lamb offal or meat	Campylobacter jejuni	1	2	3	4	5	9	3	
420	451144	lamb offal or meat	Campylobacter jejuni	2	1	1	3	2	1	3	
421	451159	lamb offal or meat	Campylobacter jejuni	2	1	47	3	2	1	3	
422	451222	lamb offal or meat	Campylobacter jejuni	2	21	5	37	62	1	5	
423	451252	lamb offal or meat	Campylobacter jejuni	1	3	6	4	3	3	3	
424	451203	beef offal or meat	Campylobacter jejuni	2	1	1	3	2	1	3	
425	2523	chicken offal or meat	Campylobacter jejuni	22	15	4	64	17	25	35	
426	306	chicken offal or meat	Campylobacter jejuni	2	1	5	3	2	1	5	
427	C724/93	chicken offal or meat	Campylobacter jejuni	2	1	5	3	2	1	5	
428	2608	chicken offal or meat	Campylobacter jejuni	3	1	5	17	11	11	6	
429	450720	lamb offal or meat	Campylobacter jejuni	1	2	3	4	5	9	3	
430	451269	lamb offal or meat	Campylobacter jejuni	2	1	5	3	2	54	5	
431	450997	lamb offal or meat	Campylobacter jejuni	2	1	5	3	2	1	5	
432	451016	lamb offal or meat	Campylobacter jejuni	2	1	1	3	2	1	3	
433	451061	lamb offal or meat	Campylobacter jejuni	2	21	5	66	20	1	5	
434	451118	lamb offal or meat	Campylobacter jejuni	2	21	5	37	2	1	5	
435	451151	lamb offal or meat	Campylobacter jejuni	2	21	5	37	2	1	5	
436	451259	lamb offal or meat	Campylobacter jejuni	2	1	5	3	2	1	5	
437	451248	lamb offal or meat	Campylobacter jejuni	2	1	5	3	2	1	5	
438	450790	lamb offal or meat	Campylobacter jejuni	2	1	1	3	2	1	3	
439	451108	lamb offal or meat	Campylobacter jejuni	2	21	5	37	2	1	5	
440	451119	lamb offal or meat	Campylobacter jejuni	2	21	5	37	2	1	5	
441	451223	lamb offal or meat	Campylobacter jejuni	1	4	2	2	6	3	17	
442	450714	lamb offal or meat	Campylobacter jejuni	2	1	5	3	2	1	5	
443	451207	lamb offal or meat	Campylobacter jejuni	1	2	3	4	5	9	3	
444	451026	lamb offal or meat	Campylobacter jejuni	2	1	1	3	2	1	3	
445	451085	lamb offal or meat	Campylobacter jejuni	2	21	5	37	2	1	5	
446	451160	lamb offal or meat	Campylobacter jejuni	1	2	3	67	5	9	3	
447	450775	lamb offal or meat	Campylobacter jejuni	2	1	5	3	2	54	5	
448	450787	lamb offal or meat	Campylobacter jejuni	2	1	5	3	2	1	5	
449	450855	lamb offal or meat	Campylobacter jejuni	2	1	5	3	2	1	5	
450	451135	lamb offal or meat	Campylobacter jejuni	2	4	1	2	7	1	5	
451	451204	beef offal or meat	Campylobacter jejuni	2	1	1	3	2	1	3	
452	2561	chicken offal or meat	Campylobacter jejuni	2	1	5	3	4	1	5	
453	450780	lamb offal or meat	Campylobacter jejuni	2	1	12	3	2	1	5	
454	451268	lamb offal or meat	Campylobacter jejuni	19	24	42	20	62	52	33	
455	451150	lamb offal or meat	Campylobacter jejuni	2	1	5	3	2	10	5	
456	451131	beef offal or meat	Campylobacter jejuni	2	1	21	3	2	1	5	
457	450979	beef offal or meat	Campylobacter jejuni	2	21	5	37	2	1	5	
458	450910	lamb offal or meat	Campylobacter jejuni	2	1	1	3	2	1	5	
459	450964	beef offal or meat	Campylobacter jejuni	1	4	2	2	6	3	17	
460	451244	beef offal or meat	Campylobacter jejuni	2	4	1	2	64	1	5	
461	450730	lamb offal or meat	Campylobacter jejuni	2	1	5	3	63	15	5	
462	3216	human stool	Campylobacter jejuni	2	7	40	4	42	51	1	
463	451245	beef offal or meat	Campylobacter jejuni	2	1	1	3	2	1	5	
464	C34/92	beef offal or meat	Campylobacter jejuni	2	1	1	3	2	1	5	
465	451192	lamb offal or meat	Campylobacter jejuni	54	39	48	3	2	44	5	
466	450778	beef offal or meat	Campylobacter jejuni	10	54	43	19	10	5	7	
467	C144	chicken	Campylobacter jejuni	9	1	4	62	4	5	6	
468	C356	chicken	Campylobacter jejuni	2	1	1	3	2	1	5	
469	C591	chicken	Campylobacter jejuni	8	4	5	2	2	58	5	
470	C2146	chicken	Campylobacter jejuni	6	25	2	10	11	3	6	
471	C2172	chicken	Campylobacter jejuni	6	17	5	2	10	59	6	
472	C2246	chicken	Campylobacter jejuni	2	7	10	4	1	7	1	
473	C2264	chicken	Campylobacter jejuni	2	21	5	3	23	1	5	
474	C2345	chicken	Campylobacter jejuni	8	7	10	4	42	51	1	
475	C2360	chicken	Campylobacter jejuni	2	21	5	3	2	1	5	
476	C2362	chicken	Campylobacter jejuni	8	21	5	3	2	1	5	
477	C2412	chicken	Campylobacter jejuni	2	1	12	3	59	1	5	
478	C2441	chicken	Campylobacter jejuni	47	2	4	62	4	5	6	
479	C2446	chicken	Campylobacter jejuni	47	7	10	4	1	1	1	
480	C2450	chicken	Campylobacter jejuni	47	21	5	3	23	1	5	
481	C2461	chicken	Campylobacter jejuni	24	11	5	10	11	3	8	
482	C2476	chicken	Campylobacter jejuni	9	1	12	3	2	1	5	
483	C2481	chicken	Campylobacter jejuni	1	4	5	2	2	1	5	
484	C2515	chicken	Campylobacter jejuni	7	1	1	3	2	1	3	
485	C2535	chicken	Campylobacter jejuni	48	7	10	4	1	7	1	
486	C2555	chicken	Campylobacter jejuni	2	1	5	10	2	1	1	
487	C2651	chicken	Campylobacter jejuni	2	17	2	15	23	3	12	
488	da9521	chicken	Campylobacter jejuni	6	2	42	4	98	58	34	
489	ha5221	chicken	Campylobacter jejuni	9	53	2	10	11	3	3	
490	kc6315	chicken	Campylobacter jejuni	47	21	2	2	11	3	6	
491	ba9301	chicken	Campylobacter jejuni	2	55	5	10	4	59	8	
492	ia9423	chicken	Campylobacter jejuni	4	55	5	10	4	3	8	
493	eb5331	chicken	Campylobacter jejuni	9	11	5	3	4	3	8	
494	ga5341	chicken	Campylobacter jejuni	22	1	1	3	2	1	5	
495	ca7302	chicken	Campylobacter jejuni	46	1	5	3	2	1	1	
496	ka1152	chicken	Campylobacter jejuni	46	1	1	5	2	1	5	
497	ku1134	chicken	Campylobacter jejuni	8	1	6	3	2	1	1	
498	141KU	chicken	Campylobacter jejuni	4	1	5	3	2	1	5	
499	146KU	chicken	Campylobacter jejuni	7	4	5	2	70	1	5	
500	154H	chicken	Campylobacter jejuni	2	1	5	69	2	1	1	
501	156H	chicken	Campylobacter jejuni	9	4	5	2	69	1	5	
502	157H	chicken	Campylobacter jejuni	9	1	21	3	2	1	5	
503	185H	chicken	Campylobacter jejuni	33	1	21	3	2	1	5	
504	159H	chicken	Campylobacter jejuni	62	2	5	68	11	55	1	
505	4923	human stool	Campylobacter jejuni	4	73	10	4	1	7	1	
506	99/14	chicken	Campylobacter jejuni	7	2	5	6	11	3	6	
507	451154	beef offal or meat	Campylobacter jejuni	1	4	2	2	6	3	17	
508	451262	beef offal or meat	Campylobacter jejuni	1	4	2	2	6	3	17	
509	451149	beef offal or meat	Campylobacter jejuni	2	4	1	2	7	1	5	
510	451082	beef offal or meat	Campylobacter jejuni	1	4	2	2	6	3	17	
511	451049	beef offal or meat	Campylobacter jejuni	1	4	2	2	6	3	17	
512	451019	beef offal or meat	Campylobacter jejuni	1	4	2	2	6	3	17	
513	450909	lamb offal or meat	Campylobacter jejuni	1	4	2	2	6	3	17	
514	450903	lamb offal or meat	Campylobacter jejuni	2	1	1	3	2	1	5	
515	450715	lamb offal or meat	Campylobacter jejuni	1	4	2	2	6	3	17	
516	C404/93	beef offal or meat	Campylobacter jejuni	2	1	1	3	2	1	3	
517	C379/93	beef offal or meat	Campylobacter jejuni	2	1	1	3	2	1	3	
518	451045	lamb offal or meat	Campylobacter jejuni	1	4	2	2	6	3	38	
519	451814	lamb offal or meat	Campylobacter jejuni	51	37	5	65	2	56	5	
520	C547/94	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
521	C614/94	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
522	C156/92	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
523	3831	human stool	Campylobacter jejuni	8	10	2	75	11	12	6	
524	3682	human stool	Campylobacter jejuni	1	4	2	4	3	3	6	
525	3182	human stool	Campylobacter jejuni	14	45	2	4	19	3	6	
526	80126	human stool	Campylobacter jejuni	2	1	1	3	7	1	5	
527	80195	human stool	Campylobacter jejuni	4	7	40	4	42	7	1	
528	201H	chicken	Campylobacter jejuni	7	2	4	62	4	1	6	
529	60219	human stool	Campylobacter jejuni	6	4	5	2	2	1	5	
530	60248	human stool	Campylobacter jejuni	2	21	1	3	72	1	5	
531	60364	human stool	Campylobacter jejuni	9	2	4	62	4	1	6	
532	60402	human stool	Campylobacter jejuni	2	56	21	3	2	1	5	
533	60413	human stool	Campylobacter jejuni	55	21	45	71	11	37	3	
534	60434	human stool	Campylobacter jejuni	2	1	21	3	2	1	5	
535	60442	human stool	Campylobacter jejuni	2	1	1	3	7	1	5	
536	60498	human stool	Campylobacter jejuni	1	2	12	4	5	1	3	
537	70046	human stool	Campylobacter jejuni	2	1	21	3	2	1	5	
538	70157	human stool	Campylobacter jejuni	2	1	1	3	7	1	5	
539	70195	human stool	Campylobacter jejuni	56	4	5	2	74	1	5	
540	70198	human stool	Campylobacter jejuni	2	1	21	3	2	1	5	
541	70208	human stool	Campylobacter jejuni	2	1	1	3	2	1	3	
542	70222	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
543	70255	human stool	Campylobacter jejuni	2	4	1	2	7	1	5	
544	70256	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
545	70275	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
546	70279	human stool	Campylobacter jejuni	4	7	14	4	1	9	1	
547	70294	human stool	Campylobacter jejuni	7	17	5	10	11	7	6	
548	70300	human stool	Campylobacter jejuni	2	1	5	3	2	1	5	
549	70411	human stool	Campylobacter jejuni	24	2	5	72	75	5	39	
550	70467	human stool	Campylobacter jejuni	62	4	5	2	74	1	5	
551	70498	human stool	Campylobacter jejuni	2	1	12	3	2	1	5	
552	70510	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
553	2296	human stool	Campylobacter jejuni	8	2	5	53	23	3	1	
554	2301	human stool	Campylobacter jejuni	2	1	1	10	2	1	5	
555	2304	human stool	Campylobacter jejuni	43	7	10	61	2	7	1	
556	2318	human stool	Campylobacter jejuni	9	25	2	10	22	3	6	
557	2332	human stool	Campylobacter jejuni	2	21	5	37	2	1	5	
558	2350	human stool	Campylobacter jejuni	23	4	1	2	7	1	5	
559	2674	human stool	Campylobacter jejuni	8	4	2	2	11	12	6	
560	2687	human stool	Campylobacter jejuni	7	17	5	2	10	3	6	
561	2943	human stool	Campylobacter jejuni	8	10	2	2	11	12	6	
562	2985	human stool	Campylobacter jejuni	2	1	1	3	7	1	5	
563	3060	human stool	Campylobacter jejuni	3	1	5	17	11	11	6	
564	3284	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
565	3287	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
566	3470	human stool	Campylobacter jejuni	2	4	1	2	7	1	14	
567	3567	human stool	Campylobacter jejuni	2	4	1	2	7	51	5	
568	3676	human stool	Campylobacter jejuni	2	21	5	37	2	1	5	
569	3826	human stool	Campylobacter jejuni	14	17	5	2	11	3	6	
570	3769	human stool	Campylobacter jejuni	1	4	2	4	3	3	6	
571	P54		Campylobacter jejuni	3	39	32	79	79	43	17	
572	2324	human stool	Campylobacter jejuni	1	4	2	2	76	3	17	
573	2472	human stool	Campylobacter jejuni	8	10	2	2	11	12	43	
574	2589	human stool	Campylobacter jejuni	1	10	2	2	6	3	17	
575	3037	human stool	Campylobacter jejuni	1	4	2	2	6	3	17	
576	3536	human stool	Campylobacter jejuni	9	2	2	62	4	5	6	
577	3637	human stool	Campylobacter jejuni	2	4	1	2	7	1	5	
578	3787	human stool	Campylobacter jejuni	2	4	1	2	7	1	5	
579	C649/94	human stool	Campylobacter jejuni	1	2	49	4	11	66	8	
580	233.95	human stool	Campylobacter jejuni	1	2	49	4	11	66	8	
581	367.95	human stool	Campylobacter jejuni	1	2	49	4	11	66	8	
582	2060.94	human stool	Campylobacter jejuni	1	2	49	4	11	66	8	
583	386.96	human stool	Campylobacter jejuni	1	2	49	4	11	66	8	
584	308.95	human stool	Campylobacter jejuni	1	2	49	4	11	66	8	
585	21.97	human stool	Campylobacter jejuni	1	2	49	4	11	66	8	
586	378.96	human stool	Campylobacter jejuni	1	2	49	4	11	66	8	
587	242.97	human stool	Campylobacter jejuni	1	2	49	4	11	66	8	
588	411289	human stool	Campylobacter jejuni	2	17	5	2	11	3	6	
589	410169	human stool	Campylobacter jejuni	9	21	2	2	83	3	1	
590	400372	human stool	Campylobacter jejuni	9	2	2	62	4	5	6	
591	400643	human stool	Campylobacter jejuni	4	2	4	62	4	5	6	
592	401374	human stool	Campylobacter jejuni	8	25	2	10	22	3	6	
593	401569	human stool	Campylobacter jejuni	2	2	4	62	4	5	6	
594	401892	human stool	Campylobacter jejuni	2	2	4	62	4	5	6	
595	402315	human stool	Campylobacter jejuni	9	25	2	10	22	3	6	
596	402369	human stool	Campylobacter jejuni	9	2	4	62	4	5	6	
597	402671	human stool	Campylobacter jejuni	9	2	4	62	4	5	6	
598	2524	chicken offal or meat	Campylobacter jejuni	9	1	10	3	2	1	5	
599	1928	chicken offal or meat	Campylobacter jejuni	9	2	4	62	4	5	6	
600	318/90	chicken offal or meat	Campylobacter jejuni	9	1	1	3	2	1	3	
601	324/90	chicken offal or meat	Campylobacter jejuni	9	59	4	38	17	12	35	
602	332/90	chicken offal or meat	Campylobacter jejuni	14	59	4	38	17	12	35	
603	1952	chicken offal or meat	Campylobacter jejuni	7	2	4	62	4	5	6	
604	99/16	chicken	Campylobacter jejuni	42	1	5	17	11	11	6	
605	99/111	chicken	Campylobacter jejuni	22	1	12	3	59	1	5	
606	177H	chicken	Campylobacter jejuni	7	61	4	38	77	60	40	
607	190H	chicken	Campylobacter jejuni	4	7	10	1	1	7	1	
608	60210	human stool	Campylobacter jejuni	2	2	1	3	2	1	5	
609	60243	human stool	Campylobacter jejuni	9	53	2	10	11	3	3	
610	60328	human stool	Campylobacter jejuni	3	1	5	17	11	11	6	
611	60392	human stool	Campylobacter jejuni	2	1	1	3	2	1	3	
612	70223	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
613	70296	human stool	Campylobacter jejuni	8	1	6	3	2	1	1	
614	70384	human stool	Campylobacter jejuni	4	7	10	4	42	7	1	
615	C638/94	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
616	C639/94	human stool	Campylobacter jejuni	2	1	1	3	11	1	5	
617	80251	human stool	Campylobacter jejuni	2	4	1	4	19	63	5	
618	174KU	chicken	Campylobacter jejuni	6	4	5	2	2	1	5	
619	3898	human stool	Campylobacter jejuni	1	2	14	4	5	9	3	
620	70232	human stool	Campylobacter jejuni	4	7	12	4	42	51	1	
621	70258	human stool	Campylobacter jejuni	4	7	41	4	42	7	1	
622	3761	human stool	Campylobacter jejuni	9	2	4	62	80	5	6	
623	1915	human stool	Campylobacter jejuni	2	1	21	3	2	1	5	
624	170H	chicken	Campylobacter jejuni	2	21	5	70	23	1	5	
625	3752	human stool	Campylobacter jejuni	1	3	6	4	3	3	3	
626	C34/93	human stool	Campylobacter jejuni	2	1	5	3	2	1	5	
627	4709	human stool	Campylobacter jejuni	2	58	12	3	2	1	5	
628	1809	human stool	Campylobacter jejuni	1	4	2	4	3	3	6	
629	2181	human stool	Campylobacter jejuni	43	1	1	3	2	1	5	
630	2197	human stool	Campylobacter jejuni	1	4	2	61	3	3	6	
631	2216	human stool	Campylobacter jejuni	24	2	2	15	66	3	12	
632	2223	human stool	Campylobacter jejuni	44	17	5	2	11	3	6	
633	2273	human stool	Campylobacter jejuni	43	17	2	10	23	68	5	
634	2274	human stool	Campylobacter jejuni	24	17	2	10	23	68	5	
635	2294	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
636	2314	human stool	Campylobacter jejuni	1	4	2	2	59	3	17	
637	2334	human stool	Campylobacter jejuni	1	4	2	4	3	3	6	
638	2435	human stool	Campylobacter jejuni	7	17	5	2	67	3	6	
639	3495	human stool	Campylobacter jejuni	2	4	1	2	7	51	5	
640	3633	human stool	Campylobacter jejuni	2	4	1	2	7	1	5	
641	3636	human stool	Campylobacter jejuni	2	4	1	2	7	1	5	
642	3818	human stool	Campylobacter jejuni	2	4	2	2	6	1	5	
643	c637	human stool	Campylobacter jejuni	2	63	1	3	7	1	5	
644	C641	human stool	Campylobacter jejuni	9	62	4	62	4	5	6	
645	C648	human stool	Campylobacter jejuni	9	62	4	62	4	5	6	
646	C656	human stool	Campylobacter jejuni	9	62	4	62	4	5	6	
647	2568	human stool	Campylobacter jejuni	2	1	1	3	2	1	3	
648	3668	human stool	Campylobacter jejuni	1	2	3	4	20	9	3	
649	3671	human stool	Campylobacter jejuni	4	7	14	4	1	7	1	
650	P1		Campylobacter jejuni	2	1	12	3	2	1	5	
651	1970	human stool	Campylobacter jejuni	2	1	21	3	2	1	5	
652	3778	human stool	Campylobacter jejuni	2	4	1	2	7	1	5	
653	3783	human stool	Campylobacter jejuni	8	17	5	2	10	59	6	
654	c720	human stool	Campylobacter jejuni	55	74	2	71	11	37	3	
655	2354	human stool	Campylobacter jejuni	1	4	2	2	6	3	17	
656	3632	human stool	Campylobacter jejuni	1	57	3	4	5	9	3	
657	1811	human stool	Campylobacter jejuni	10	27	16	19	10	5	7	
658	3574	human stool	Campylobacter jejuni	1	4	2	2	6	3	17	
659	3173	human stool	Campylobacter jejuni	7	17	5	2	2	3	6	
660	3447	human stool	Campylobacter jejuni	2	1	1	5	2	1	5	
661	2580	human stool	Campylobacter jejuni	4	7	10	4	42	7	1	
662	2967	human stool	Campylobacter jejuni	1	4	2	2	6	3	17	
663	2340	human stool	Campylobacter jejuni	10	27	16	19	10	5	7	
664	3187	human stool	Campylobacter jejuni	1	4	2	2	6	3	17	
665	2351	human stool	Campylobacter jejuni	14	45	2	4	19	3	6	
666	3741	human stool	Campylobacter jejuni	7	17	5	2	10	3	5	
667	C2609	chicken	Campylobacter jejuni	2	7	1	3	20	5	1	
668	3845	human stool	Campylobacter jejuni	1	7	10	4	1	7	1	
669	106H	chicken	Campylobacter jejuni	2	17	21	3	2	1	1	
670	2303	human stool	Campylobacter jejuni	2	4	2	2	23	1	5	
671	2361	human stool	Campylobacter jejuni	2	4	21	3	2	1	5	
672	2353	human stool	Campylobacter jejuni	2	4	1	2	87	1	5	
673	79092	sand (bathing beach)	Campylobacter jejuni	26	2	8	51	40	69	5	
674	2586	human stool	Campylobacter jejuni	2	64	5	2	59	1	5	
675	450148	chicken offal or meat	Campylobacter jejuni	57	17	2	2	11	12	6	
676	451128	chicken offal or meat	Campylobacter jejuni	7	28	4	28	84	34	35	
677	451188	chicken offal or meat	Campylobacter jejuni	7	28	4	28	84	34	35	
678	451087	chicken offal or meat	Campylobacter jejuni	4	7	40	4	42	51	1	
679	451270	chicken offal or meat	Campylobacter jejuni	8	10	2	2	82	12	6	
680	451230	chicken offal or meat	Campylobacter jejuni	9	2	4	62	4	5	6	
681	451202	chicken offal or meat	Campylobacter jejuni	9	2	4	62	4	5	6	
682	450883	pork offal or meat	Campylobacter jejuni	2	1	5	3	83	1	5	
683	450828	pork offal or meat	Campylobacter jejuni	10	54	43	19	10	5	7	
684	1917	chicken offal or meat	Campylobacter jejuni	2	1	12	3	2	1	5	
685	1943	chicken offal or meat	Campylobacter jejuni	2	1	12	3	2	1	5	
686	1936	chicken offal or meat	Campylobacter jejuni	2	1	12	3	2	1	5	
687	1954	chicken offal or meat	Campylobacter jejuni	2	1	12	3	2	1	5	
688	1931	chicken offal or meat	Campylobacter jejuni	2	1	12	3	2	1	5	
689	1919	chicken offal or meat	Campylobacter jejuni	2	1	12	3	2	1	5	
690	403168	human stool	Campylobacter jejuni	7	60	6	62	11	67	6	
691	408253	human stool	Campylobacter jejuni	14	21	2	10	11	3	6	
692	99/121	cattle	Campylobacter jejuni	2	21	1	3	7	1	5	
693	407812	human stool	Campylobacter jejuni	2	2	5	62	4	5	1	
694	401996	human stool	Campylobacter jejuni	2	2	4	62	4	5	6	
695	310/90	chicken offal or meat	Campylobacter jejuni	9	1	12	3	2	1	5	
696	406636	human stool	Campylobacter jejuni	2	2	4	62	4	5	6	
697	2541	chicken offal or meat	Campylobacter jejuni	9	7	10	4	1	7	1	
698	C584/94	human stool	Campylobacter jejuni	8	10	2	2	11	12	6	
699	80027	human stool	Campylobacter jejuni	1	2	3	4	5	9	3	
700	80160	human stool	Campylobacter jejuni	7	2	6	10	78	37	1	
701	451185	lamb offal or meat	Campylobacter jejuni	19	24	42	20	62	52	33	
702	451191	lamb offal or meat	Campylobacter jejuni	2	1	5	3	2	54	5	
703	80168	human stool	Campylobacter jejuni	1	2	3	4	5	9	3	
704	1936	chicken offal or meat	Campylobacter jejuni	2	1	12	3	2	1	5	
705	C6/95	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
706	450821	chicken offal or meat	Campylobacter jejuni	2	1	1	3	2	1	3	
707	3828	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
708	450719	pork offal or meat	Campylobacter jejuni	2	1	1	3	2	1	3	
709	3474	human stool	Campylobacter jejuni	2	4	1	2	7	51	5	
710	99/260	human stool	Campylobacter jejuni	7	4	5	4	2	9	5	
711	3102	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
712	3184	human stool	Campylobacter jejuni	2	1	1	3	2	1	3	
713	3430	human stool	Campylobacter jejuni	2	4	2	2	6	1	5	
714	3680	human stool	Campylobacter jejuni	1	4	2	4	3	3	6	
715	C350	chicken	Campylobacter jejuni	2	1	21	2	2	1	5	
716	3673	human stool	Campylobacter jejuni	1	2	3	4	5	9	3	
717	C2150	chicken	Campylobacter jejuni	8	4	1	2	7	1	5	
718	3751	human stool	Campylobacter jejuni	10	27	16	19	80	5	7	
719	3776	human stool	Campylobacter jejuni	2	15	4	38	17	12	35	
720	EX1692	broiler environment	Campylobacter jejuni	7	21	5	37	2	1	5	
721	2459	human stool	Campylobacter jejuni	8	10	2	2	11	70	6	
722	C662/94	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
723	C85/93	human stool	Campylobacter jejuni	2	1	5	3	2	1	5	
724	P65		Campylobacter jejuni	1	4	2	2	6	3	17	
725	3143	human stool	Campylobacter jejuni	10	27	43	19	6	18	7	
726	2563	human stool	Campylobacter jejuni	2	1	1	3	2	1	3	
727	407289	human stool	Campylobacter jejuni	4	25	2	10	22	3	6	
728	406030	human stool	Campylobacter jejuni	9	2	4	10	4	5	6	
729	408568	human stool	Campylobacter jejuni	8	2	5	62	2	5	1	
730	408992	human stool	Campylobacter jejuni	14	21	2	10	86	3	6	
731	409777	human stool	Campylobacter jejuni	7	2	4	62	4	5	6	
732	2609	chicken offal or meat	Campylobacter jejuni	8	10	2	2	11	12	6	
733	406909	human stool	Campylobacter jejuni	1	4	2	80	6	3	17	
734	403594	human stool	Campylobacter jejuni	9	2	4	62	4	5	6	
735	2190	chicken offal or meat	Campylobacter jejuni	8	4	1	2	85	51	5	
736	451201	chicken offal or meat	Campylobacter jejuni	9	2	4	62	4	5	6	
737	1941	chicken offal or meat	Campylobacter jejuni	2	1	12	3	2	1	5	
