id	isolate	source	species	aspA	glnA	gltA	glyA	pgm	tkt	uncA
24924	OXC7669	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
24925	OXC7670	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
24926	OXC7672	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
24927	OXC7673	human stool	Campylobacter jejuni	2	4	1	2	681	1	5
24928	OXC7674	human stool	Campylobacter jejuni	9	2	4	62	4	133	6
24929	OXC7675	human stool	Campylobacter jejuni	7	53	2	10	11	3	3
24930	OXC7676	human stool	Campylobacter jejuni	7	28	4	28	17	34	12
24931	OXC7677	human stool	Campylobacter jejuni	2	1	21	334	2	1	5
24932	OXC7678	human stool	Campylobacter jejuni	6	4	5	2	2	1	5
24933	OXC7679	human stool	Campylobacter jejuni	8	10	5	2	11	12	6
24934	OXC7680	human stool	Campylobacter jejuni	2	4	1	4	19	1	5
24935	OXC7682	human stool	Campylobacter jejuni	7	53	2	10	11	3	3
24936	OXC7683	human stool	Campylobacter jejuni	24	30	2	2	89	59	6
24937	OXC7686	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
24938	OXC7687	human stool	Campylobacter coli	33	39	30	82	104	56	17
24939	OXC7689	human stool	Campylobacter jejuni	2	4	2	4	19	3	6
24940	OXC7692	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
24941	OXC7693	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
24942	OXC7694	human stool	Campylobacter coli	33	39	30	82	189	56	17
24943	OXC7695	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
24944	OXC7696	human stool	Campylobacter jejuni	22	15	4	64	74	25	23
24945	OXC7697	human stool	Campylobacter jejuni	1	3	6	4	3	3	3
24946	OXC7698	human stool	Campylobacter jejuni	7	2	5	2	10	3	6
24947	OXC7699	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
24948	OXC7700	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
24949	OXC7701	human stool	Campylobacter coli	33	39	30	82	104	56	17
24950	OXC7702	human stool	Campylobacter coli	33	39	30	82	104	43	17
24951	OXC7704	human stool	Campylobacter jejuni	2	21	5	37	2	1	5
24952	OXC7705	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
24953	OXC7706	human stool	Campylobacter coli	33	39	30	82	104	56	17
24954	OXC7707	human stool	Campylobacter jejuni	9	2	4	62	4	5	12
24955	OXC7709	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
24956	OXC7711	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
24957	OXC7712	human stool	Campylobacter jejuni	9	2	2	2	11	5	6
24958	OXC7716	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
24959	OXC7717	human stool	Campylobacter jejuni	6	4	5	2	2	1	5
24960	OXC7718	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
24961	OXC7719	human stool	Campylobacter jejuni	9	17	5	10	350	3	3
24962	OXC7720	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
24963	OXC7721	human stool	Campylobacter jejuni	2	4	1	4	19	62	5
24964	OXC7722	human stool	Campylobacter jejuni	7	17	5	2	10	3	6
24965	OXC7724	human stool	Campylobacter jejuni	2	21	5	37	60	1	5
24966	OXC7725	human stool	Campylobacter coli	33	39	30	82	113	47	17
24967	OXC7726	human stool	Campylobacter jejuni	2	1	5	3	2	1	5
24968	OXC7727	human stool	Campylobacter jejuni	6	4	5	2	2	1	5
24969	OXC7728	human stool	Campylobacter jejuni	2	4	1	93	11	3	6
24970	OXC7731	human stool	Campylobacter jejuni	2	1	21	334	2	1	5
24971	OXC7732	human stool	Campylobacter coli	32	39	30	79	113	47	17
24972	OXC7734	human stool	Campylobacter jejuni	24	2	2	2	10	3	3
24973	OXC7735	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
24974	OXC7736	human stool	Campylobacter jejuni	24	2	2	2	10	3	3
24975	OXC7738	human stool	Campylobacter jejuni	9	2	4	62	4	5	12
24976	OXC7741	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
24977	OXC7742	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
24978	OXC7743	human stool	Campylobacter jejuni	9	25	2	10	22	3	6
24979	OXC7744	human stool	Campylobacter jejuni	47	55	5	10	11	48	8
24980	OXC7745	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
24981	OXC7746	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
24982	OXC7747	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
24983	OXC7748	human stool	Campylobacter jejuni	2	1	5	3	2	1	5
24984	OXC7749	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
24985	OXC7750	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
24986	OXC7752	human stool	Campylobacter jejuni	4	7	10	4	42	25	1
24987	OXC7755	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
24988	OXC7853	human stool	Campylobacter jejuni	9	2	4	62	4	133	6
24989	OXC7854	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
24990	OXC7855	human stool	Campylobacter jejuni	2	4	2	4	19	3	6
24991	OXC7856	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
24992	OXC7857	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
24993	OXC7858	human stool	Campylobacter jejuni	2	4	2	4	19	3	6
24994	OXC7859	human stool	Campylobacter coli	33	39	30	82	104	47	36
24995	OXC7860	human stool	Campylobacter coli	33	39	30	82	104	47	36
24996	OXC7861	human stool	Campylobacter coli	33	39	30	82	113	43	17
24997	OXC7862	human stool	Campylobacter coli	33	39	30	139	113	47	17
24998	OXC7863	human stool	Campylobacter jejuni	27	22	22		115	86	31
24999	OXC7864	human stool	Campylobacter jejuni	1	4	2	2	6	1	17
25000	OXC7865	human stool	Campylobacter jejuni	7	53	2	10	11	3	3
25001	OXC7866	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
25002	OXC7867	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
25003	OXC7868	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
25004	OXC7869	human stool	Campylobacter jejuni	2	4	5	2	2	1	5
25005	OXC7870	human stool	Campylobacter jejuni	2	4	2	4	19	3	6
25006	OXC7871	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
25007	OXC7872	human stool	Campylobacter jejuni	6	4	5	2	2	1	5
25008	OXC7873	human stool	Campylobacter coli	33	39	30	82	104	56	17
25009	OXC7874	human stool	Campylobacter jejuni	7	376	5	2	10	3	6
25010	OXC7875	human stool	Campylobacter jejuni	9	2	4	62	4	5	12
25011	OXC7876	human stool	Campylobacter coli	33	39	30	82	104	47	36
25012	OXC7877	human stool	Campylobacter jejuni	24	30	2	2	89	120	6
25013	OXC7879	human stool	Campylobacter jejuni	1	2	42	4	3	40	3
25014	OXC7881	human stool	Campylobacter jejuni	4	7	10	4	42	7	1
25015	OXC7882	human stool	Campylobacter jejuni	9	2	2	2	10	3	1
25016	OXC7883	human stool	Campylobacter coli	33	39	30	139	113	47	17
25017	OXC7884	human stool	Campylobacter jejuni	2	4	2	4	19	3	6
25018	OXC7887	human stool	Campylobacter jejuni	2	1	5	3	2	1	5
25019	OXC7888	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
25020	OXC7889	human stool	Campylobacter jejuni	9	2	4	542	4	5	6
25021	OXC7890	human stool	Campylobacter coli	33	39	30	82	104	43	17
25022	OXC7891	human stool	Campylobacter jejuni	7	2	5	2	10	3	6
25023	OXC7892	human stool	Campylobacter jejuni	2	1	12	3	2	1	26
25024	OXC7893	human stool	Campylobacter sp.							
25025	OXC7894	human stool	Campylobacter jejuni	9	2	4	62	4	133	6
25026	OXC7895	human stool	Campylobacter jejuni	2	75	4	48	141	34	1
25027	OXC7896	human stool	Campylobacter jejuni	2	1	1	3	2	319	5
25028	OXC7897	human stool	Campylobacter jejuni	2	1	5	3	2	1	5
25029	OXC7403R	human stool	Campylobacter sp.		581		616	709	610	394
25030	OXC7899	human stool	Campylobacter jejuni	2	21	5	37	2	1	5
25031	OXC7900	human stool	Campylobacter jejuni	2	10	2	4	19	3	6
25032	OXC7901	human stool	Campylobacter jejuni	7	2	6	10	10	37	1
25033	OXC7902	human stool	Campylobacter jejuni	7	2	5	2	10	3	6
25034	OXC7903	human stool	Campylobacter jejuni	2	21	5	37	60	1	5
25035	OXC7904	human stool	Campylobacter jejuni	9	2	4	62	4	133	6
25036	OXC7905	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
25037	OXC7907	human stool	Campylobacter coli	33	39	30	139	113	47	17
25038	OXC7908	human stool	Campylobacter coli	33	39	30	82	104	56	17
25039	OXC7909	human stool	Campylobacter jejuni	9	2	4	62	4	5	12
25040	OXC7910	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
25041	OXC7911	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
25042	OXC7912	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
25043	OXC7913	human stool	Campylobacter coli	33	39	30	82	104	56	17
25044	OXC7914	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
25045	OXC7915	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
25046	OXC7916	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
25047	OXC7917	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
25048	OXC7918	human stool	Campylobacter jejuni	6	4	5	2	2	1	5
25049	OXC7919	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
25050	OXC7920	human stool	Campylobacter coli	33	39	30	139	113	47	17
25051	OXC7922	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
25052	OXC7923	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
25053	OXC7924	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
25054	OXC7925	human stool	Campylobacter coli	33	39	30	82	113	44	17
25055	OXC7926	human stool	Campylobacter jejuni	2	1	5	3	2	1	5
25056	OXC7927	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
25057	OXC7928	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
25058	OXC7929	human stool	Campylobacter jejuni	2	1	5	3	2	1	5
25059	OXC7931	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
25060	OXC7932	human stool	Campylobacter jejuni	2	15	4	64	17	34	35
25061	OXC7933	human stool	Campylobacter coli	33	39	30	79	113	47	17
25062	OXC7934	human stool	Campylobacter coli	33	39	30	79	113	47	17
25063	OXC7938	human stool	Campylobacter jejuni	1	4	2	20	6	3	17
25064	OXC7939	human stool	Campylobacter coli	33	39	30	82	113	43	17
25065	OXC7940	human stool	Campylobacter coli	33	39	30	82	113	43	17
25066	OXC7943	human stool	Campylobacter coli	33	39	30	139	113	47	17
25067	OXC7944	human stool	Campylobacter coli	33	39	30	82	104	56	17
25068	OXC7945	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
25069	OXC7906	human stool	Campylobacter jejuni	9	25	2	10	22	3	6
25070	BID17C		Campylobacter jejuni	7	17	5	2	10	3	6
25071	BID17E		Campylobacter jejuni	355	2	42	4	90	25	8
25072	BID17Q		Campylobacter jejuni	8	10	5	2	11	12	6
25073	BID18P		Campylobacter coli	33	42	241	82	104	35	211
25074	BID18W		Campylobacter jejuni	355	2	42	4	90	25	8
25075	BID19O		Campylobacter jejuni	1	2	42	62	11	9	8
25076	BID1MV		Campylobacter jejuni	9	481	42	10	11	9	253
25077	BID1N5		Campylobacter jejuni	10	27	59	19	10	5	201
25078	BID1N7		Campylobacter jejuni	1	2	49	4	11	66	8
25079	BID1NQ		Campylobacter jejuni	7	17	5	2	10	3	6
25080	BID1Q5		Campylobacter jejuni	7	17	5	2	10	3	6
25081	BID1QG		Campylobacter jejuni	7	15	5	62	67	3	6
25082	BID1QH		Campylobacter coli	33	39	66	79	104	43	17
25083	BID48C		Campylobacter jejuni	7	4	5	68	11	58	6
25084	OXC4557	human stool	Campylobacter jejuni	2	29	4	48	13	24	57
25085	OXC4568	human stool	Campylobacter jejuni	2	1	6	3	2	1	5
25086	OXC4594	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
25087	OXC4648	human stool	Campylobacter jejuni	8	10	2	2	347	1	6
25088	OXC4658	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
25089	OXC4672	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
25090	OXC4923	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
25091	OXC4924	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
25092	OXC4927	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
25093	OXC4930	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
25094	OXC4945	human stool	Campylobacter jejuni	9	2	4	62	4	5	12
25095	OXC4948	human stool	Campylobacter jejuni	2	61	4	64	332	7	23
25096	OXC4956	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
25097	OXC4967	human stool	Campylobacter jejuni	24	17	2	15	23	3	12
25098	OXC5315	human stool	Campylobacter jejuni	9	2	4	62	4	5	12
25099	OXC5317	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
25100	OXC5318	human stool	Campylobacter jejuni	4	7	10	4	42	7	1
25101	OXC5321	human stool	Campylobacter jejuni	2	21	5	37	60	1	5
25102	OXC5323	human stool	Campylobacter jejuni	1	3	6	4	3	3	3
25103	OXC5624	human stool	Campylobacter jejuni	2	1	2	3	2	1	5
25104	OXC7545	human stool	Campylobacter jejuni	9	25	2	10	22	3	8
25105	OXC7555	human stool	Campylobacter jejuni	10	27	16	19	10	5	7
25106	OXC7579	human stool	Campylobacter jejuni	10	27	16	19	10	5	7
25107	OXC7582	human stool	Campylobacter jejuni	2	4	1	4	19	1	5
25108	OXC7602	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
25109	OXC7610	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
25110	OXC7758	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
25111	OXC7801	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
25112	OXC7805	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
25113	OXC7878	human stool	Campylobacter jejuni	9	2	4	62	4	5	12
25114	OXC7885	human stool	Campylobacter jejuni	3	1	5	17	11	11	6
25115	OXC7886	human stool	Campylobacter jejuni	9	2	4	62	4	133	6
25116	OXC7921	human stool	Campylobacter jejuni	1	3	6	4	54	91	3
25117	OXC7930	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
25118	OXC7935	human stool	Campylobacter jejuni	73	4	2	4	19	3	6
25119	OXC7937	human stool	Campylobacter jejuni	9	2	4	62	4	133	6
25120	OXC7941	human stool	Campylobacter jejuni	47	55	5	10	11	48	8
25121	BID1EV		Campylobacter jejuni	7	84	1	10	11	3	6
25122	BID1MW		Campylobacter jejuni	1	3	6	4	3	3	3
25123	BID1NL		Campylobacter jejuni	2	1	1	3	2	1	5
