id	isolate	source	species	aspA	glnA	gltA	glyA	pgm	tkt	uncA
13006	CG-99-8157	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13007	CG-99-8159	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13008	CG-99-8236	human stool	Campylobacter jejuni	7	53	27	15	11	3	3
13009	CG-99-8239	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13010	CG-99-8241	human stool	Campylobacter jejuni	9	53	2	53	11	3	3
13011	CG-99-8249	human stool	Campylobacter jejuni	7	2	5	72	22	3	6
13012	CG-99-8257	human stool	Campylobacter jejuni	9	17	1	53	151	102	6
13013	CG-99-8259	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13014	CG-99-8261	human stool	Campylobacter jejuni	7	2	5	461	22	102	6
13015	CG-99-8263	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13016	CG-99-8351	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13017	CG-99-8353	human stool	Campylobacter jejuni	9	17	1	53	151	3	6
13018	CG-99-8403	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13019	CG-99-8411	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13020	CG-99-8415	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13021	CG-99-8423	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13022	CG-99-8425	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13023	CG-99-8431	human stool	Campylobacter jejuni	9	53	2	53	11	3	3
13024	CG-99-8437	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13025	CG-99-8441	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13026	CG-99-PEREZ MEL	human stool	Campylobacter jejuni	7	53	27	15	11	3	3
13027	CG-99-ACOSTA(1)	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
13028	CG-99-ACOSTA(2)	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
13029	CG-99-8265	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13030	CG-99-8272	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13031	CG-99-8273	human stool	Campylobacter jejuni	9	53	2	72	11	3	6
13032	CG-99-8275	human stool	Campylobacter jejuni	7	2	5	72	22	102	3
13033	CG-99-8277	human stool	Campylobacter jejuni	9	53	2	53	11	3	3
13034	CG-99-8279	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13035	CG-99-8284	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13036	CG-99-8289	human stool	Campylobacter jejuni	9	53	2	53	11	3	3
13037	CG-99-8291	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13038	CG-99-8292	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13039	CG-99-8299	human stool	Campylobacter jejuni	7	53	2	10	11	3	3
13040	CG-99-8459	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
13041	CG-99-8461	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13042	CG-99-8476	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13043	CG-99-8477	human stool	Campylobacter jejuni	199	17	2	15	23	3	12
13044	CG-99-8481	human stool	Campylobacter jejuni	9	53	2	53	11	3	3
13045	CG-99-8486	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13046	CG-99-8497	human stool	Campylobacter jejuni	9	53	2	53	11	3	3
13047	CG-99-8513	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
13048	CG-99-8309	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13049	CG-99-8316	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13050	CG-99-8528	human stool	Campylobacter jejuni	9	53	2	53	11	12	3
13051	NS-8703	human stool	Campylobacter jejuni	8	10	2	2	11	3	6
13052	NS-8706	human stool	Campylobacter jejuni	7	2	5	2	10	3	6
13053	NS-8708	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13054	NS-8717	human stool	Campylobacter jejuni	7	53	2	15	11	3	3
13055	NS-8723	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
13056	NS-8729	human stool	Campylobacter jejuni	7	2	5	10	11	37	1
13057	NS-8781	human stool	Campylobacter jejuni	8	10	2	2	11	12	1
13058	NS-8782	human stool	Campylobacter jejuni	8	10	2	2	11	12	1
13059	NSC-8749	human stool	Campylobacter jejuni	7	2	5	2	10	3	6
13060	NS-8798	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13061	NS-8952	human stool	Campylobacter jejuni	8	10	2	2	11	12	1
13062	NS-8959	human stool	Campylobacter jejuni	24	52	57	26	127	29	23
13063	NS-8964	human stool	Campylobacter jejuni	9	53	5	10	11	3	3
13064	NS-BC-8958	human stool	Campylobacter jejuni	8	10	2	2	11	12	1
13065	NS-8968	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13066	NS-8932	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
13067	NS-8939	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13068	NS-8948	human stool	Campylobacter jejuni	24	52	57	26	127	29	23
13069	NS-9230	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
13070	NS-9233	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13071	NS-9237	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13072	NS-9241	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13073	NS-9247	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13074	NS-9282	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13075	TS-8605	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13076	TS-8606	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13077	TS-8608	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13078	TS-8610	human stool	Campylobacter jejuni	8	10	2	2	11	12	5
13079	TSC-8624	human stool	Campylobacter jejuni	9	2	2	10	10	3	6
13080	TS-8636	human stool	Campylobacter jejuni	7	17	2	2	86	3	1
13081	TS-8638	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13082	TS-8641	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13083	TS-8644	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13084	TSC-8652	human stool	Campylobacter jejuni	7	53	2	10	11	3	3
13085	TS-8656	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13086	TS-8668	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13087	TS-8676	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13088	TS-8851	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
13089	TS-8859	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13090	TS-8812	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
13091	TS-8828	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
13092	TS-8832	human stool	Campylobacter jejuni	7	4	1	68	11	58	6
13093	TS-8834	human stool	Campylobacter jejuni	7	2	5	2	10	3	6
13094	TS-8845	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
13095	TS-8846	human stool	Campylobacter jejuni	7	2	5	2	10	3	6
13096	TSC-8884	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13097	TS-8894	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13098	TSC-9310	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13099	TS-9341	human stool	Campylobacter jejuni	24	10	2	2	89	59	6
13100	TS-9346	human stool	Campylobacter jejuni	8	30	2	2	11	12	6
13101	CG-01-09501	human stool	Campylobacter jejuni	24	30	2	312	11	59	6
13102	CG-01-09505	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13103	CG-01-09508	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13104	CG-01-09516	human stool	Campylobacter jejuni	24	30	2	312	11	59	6
13105	CG-01-09519	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13106	CG-01-09526	human stool	Campylobacter jejuni	9	2	2	10	11	3	5
13107	CG-01-09530	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13108	CG-01-09533	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
13109	CG-01-09534	human stool	Campylobacter jejuni	9	2	2	10	11	3	5
13110	CG-01-09538	human stool	Campylobacter jejuni	9	2	2	10	11	3	5
13111	CG-01-09540	human stool	Campylobacter jejuni	7	2	52	10	22	37	1
13112	CG-01-09542	human stool	Campylobacter jejuni	9	2	2	10	11	3	5
13113	CG-01-09544	human stool	Campylobacter jejuni	9	2	2	10	11	3	5
13114	CG-01-09546B	human stool	Campylobacter jejuni	9	2	2	10	11	3	5
13115	CG-01-09553	human stool	Campylobacter jejuni	9	2	2	10	11	3	5
13116	CG-01-09555	human stool	Campylobacter jejuni	9	2	2	10	11	3	5
13117	CG-01-09561	human stool	Campylobacter jejuni	9	2	2	10	11	3	5
13118	CG-01-09562B	human stool	Campylobacter jejuni	9	2	2	10	11	3	5
13119	CG-01-09565	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13120	CG-01-09571	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13121	CG-01-09572	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13122	CG-01-09585	human stool	Campylobacter jejuni	9	2	2	10	10	59	5
13123	CG-01-09589	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13124	CG-01-09590	human stool	Campylobacter jejuni	9	2	2	10	10	59	5
13125	CG-01-09594	human stool	Campylobacter jejuni	9	2	2	10	11	3	5
13126	CG-01-09596	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13127	CG-01-09603	human stool	Campylobacter jejuni	9	2	2	10	11	3	5
13128	CG-01-09624	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13129	CG-01-09625	human stool	Campylobacter jejuni	9	2	1	10	22	3	6
13130	CG-01-09641	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13131	CG-01-09360	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13132	CG-01-09361	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13133	CG-01-09365	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13134	CG-01-09367	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13135	CG-01-09372	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13136	CG-01-09379	human stool	Campylobacter jejuni	7	2	5	2	10	3	6
13137	CG-01-09405	human stool	Campylobacter jejuni	9	2	2	10	10	59	5
13138	CG-01-09409	human stool	Campylobacter jejuni	9	2	2	10	10	59	5
13139	CG-01-09417	human stool	Campylobacter jejuni	24	30	2	312	11	59	6
13140	CG-01-09422	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13141	CG-01-09427	human stool	Campylobacter jejuni	7	53	2	15	11	3	3
13142	CG-01-09429	human stool	Campylobacter jejuni	7	53	2	15	11	3	3
13143	CG-01-09439	human stool	Campylobacter jejuni	4	7	10	4	42	7	1
13144	CG-01-09442	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13145	CG-01-09450	human stool	Campylobacter jejuni	7	17	5	10	11	3	6
13146	CG-02-3017	human stool	Campylobacter jejuni	9	17	5	53	151	3	6
13147	CG-02-3031	human stool	Campylobacter jejuni	14	21	2	10	86	3	6
13148	CG-02-3038	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13149	CG-02-3053	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13150	CG-02-3056	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13151	CG-02-3058	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13152	CG-02-3064	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13153	CG-02-3068	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13154	CG-02-3074	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13155	CG-03-4010	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
13156	CG-03-4015	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13157	CG-03-4020	human stool	Campylobacter jejuni	24	30	2	2	89	59	6
13158	CG-03-4025	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
13159	CG-03-4034	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
13160	CG-03-4037	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
13161	CG-03-4042	human stool	Campylobacter jejuni	8	419	2	2	11	12	6
13162	CG-03-4043	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
13163	CG-03-4044	human stool	Campylobacter jejuni	9	30	2	2	89	59	6
13164	CG-03-4046	human stool	Campylobacter jejuni	24	2	2	10	10	3	5
13165	CG-03-4050	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
13166	CG-03-4068	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
13167	CG-03-4072	human stool	Campylobacter jejuni	8	419	2	2	11	12	6
13168	BH-01-2	human stool	Campylobacter jejuni	7	17	52	10	11	3	6
13169	BH-01-6	human stool	Campylobacter jejuni	1	3	6	4	3	3	3
13170	BH-01-39	human stool	Campylobacter jejuni	7	2	5	10	10	37	1
13171	BH-01-50	human stool	Campylobacter jejuni	4	7	10	4	42	7	1
13172	BH-01-59	human stool	Campylobacter jejuni	8	2	1	53	90	3	1
13173	BH-01-82	human stool	Campylobacter jejuni	55	21	27	10	147	37	6
13174	BH-01-109	human stool	Campylobacter jejuni	166	2	1	10	11	3	1
13175	BH-01-142	human stool	Campylobacter jejuni	7	2	5	2	10	3	6
13176	BH-01-155	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13177	BH-01-177	human stool	Campylobacter jejuni	8	2	52	68	10	5	1
13178	BH-01-193	human stool	Campylobacter jejuni	8	21	2	313	153	253	147
13179	BH-01-196	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13180	BH-01-204	human stool	Campylobacter jejuni	24	30	5	2	22	3	6
13181	BH-01-217	human stool	Campylobacter jejuni	14	21	2	10	86	3	6
13182	BH-01-221	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13183	BH-01-258	human stool	Campylobacter jejuni	14	21	2	10	151	3	6
13184	BH-01-289	human stool	Campylobacter jejuni	2	1	12	3	2	3	5
13185	BH-01-316	human stool	Campylobacter jejuni	166	2	1	10	11	3	1
13186	BH-01-322	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13187	BH-01-335	human stool	Campylobacter jejuni	60	69	52	10	11	3	6
13188	BH-01-408	human stool	Campylobacter jejuni	14	21	2	10	11	3	6
13189	BHC-01-360	human stool	Campylobacter jejuni	3	1	5	17	11	11	6
13190	BHC-01-391	human stool	Campylobacter jejuni	8	1	5	68	10	5	1
13191	TBH-01-68	human stool	Campylobacter jejuni	4	7	10	4	42	7	1
13192	TBH-01-327	human stool	Campylobacter jejuni	8	2	2	212	309	253	147
13193	TBHC-01-38	human stool	Campylobacter jejuni	166	2	5	10	11	3	1
13194	CG-98-U-5	human stool	Campylobacter jejuni	24	30	2	2	89	59	6
13195	CG-98-U-6	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13196	CG-98-U-22	human stool	Campylobacter jejuni	9	53	2	53	11	3	3
13197	CG-98-U-54	human stool	Campylobacter jejuni	166	2	1	10	11	3	1
13198	CG-98-U-77	human stool	Campylobacter jejuni	2	1	12	3	2	1	6
13199	CG-98-K-18	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13200	CG-98-K-37	human stool	Campylobacter jejuni	7	4	2	68	11	3	6
13201	CG-98-K-67	human stool	Campylobacter jejuni	7	17	52	10	11	3	6
13202	CG-98-K-75	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
13203	CG-98-K-87	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13204	CG-98-K-92	human stool	Campylobacter jejuni	7	2	5	10	10	37	1
13205	CG-99-8013	human stool	Campylobacter jejuni	7	17	5	10	11	3	6
13206	CG-99-8015	human stool	Campylobacter jejuni	9	53	2	53	11	3	3
13207	CG-99-8023	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13208	CG-99-8103	human stool	Campylobacter jejuni	9	17	1	53	151	3	6
13209	BH-01-235	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
13210	CG-99-8123	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13211	CG-99-8125#1	human stool	Campylobacter jejuni	7	4	1	68	11	58	6
13212	CG-99-8129	human stool	Campylobacter jejuni	7	53	27	15	11	3	3
13213	CG-99-8131	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13214	CG-99-8203	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13215	CG-99-8245	human stool	Campylobacter jejuni	9	53	2	53	11	3	3
13216	CG-99-8285	human stool	Campylobacter jejuni	9	2	1	10	22	3	6
13217	CG-99-8421	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13218	CG-99-8451	human stool	Campylobacter jejuni	166	2	5	10	151	3	1
13219	CG-99-8453	human stool	Campylobacter jejuni	7	53	2	10	11	3	3
13220	CG-99-8472	human stool	Campylobacter jejuni	7	4	2	68	11	3	6
13221	CG-01-09369	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13222	CG-01-09431	human stool	Campylobacter jejuni	7	4	2	68	11	3	6
13223	CG-01-09438	human stool	Campylobacter jejuni	7	53	2	10	11	3	3
13224	CG-01-09444	human stool	Campylobacter jejuni	24	30	2	312	11	59	6
13225	CG-01-09510	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
13226	CG-01-09531	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
13227	CG-01-09536	human stool	Campylobacter jejuni	7	17	5	10	11	3	6
13228	CG-01-09568	human stool	Campylobacter jejuni	14	21	5	10	86	3	6
13229	CG-01-09573	human stool	Campylobacter jejuni	7	2	52	10	22	37	1
13230	CG-01-09625	human stool	Campylobacter jejuni	9	53	2	53	11	3	3
13231	CG-02-3015	human stool	Campylobacter jejuni	2	75	4	48	141	24	1
13232	CG-02-3016	human stool	Campylobacter jejuni	166	2	1	10	11	3	1
13233	CG-02-3018	human stool	Campylobacter jejuni	7	2	5	72	22	102	6
13234	CG-02-3022	human stool	Campylobacter jejuni	9	2	1	10	22	3	6
13235	CG-02-3027	human stool	Campylobacter jejuni	7	4	1	68	11	3	6
13236	CG-02-3030	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13237	CG-03-4001	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13238	CG-03-4002	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
13239	CG-03-4006	human stool	Campylobacter jejuni	7	2	5	2	10	3	6
13240	CG-03-4008	human stool	Campylobacter jejuni	7	17	52	72	22	3	6
13241	CG-03-4012	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
13242	CG-03-4033	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
13243	CG-03-4049	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
13244	CG-03-4051	human stool	Campylobacter jejuni	67	10	2	2	11	12	6
13245	CG-03-4060	human stool	Campylobacter jejuni	166	2	5	10	151	3	1
13246	NS-8701	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13247	NS-8712	human stool	Campylobacter jejuni	7	53	2	10	11	3	3
13248	NS-8719	human stool	Campylobacter jejuni	9	2	5	68	10	5	1
13249	NS-8726	human stool	Campylobacter jejuni	7	17	5	10	11	3	6
13250	NS-8727	human stool	Campylobacter jejuni	7	2	5	10	11	37	1
13251	NS-8778	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13252	NS-8788	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
13253	NS-8931	human stool	Campylobacter jejuni	24	52	57	26	127	29	23
13254	NS-8955	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
13255	NS-8955#1	human stool	Campylobacter jejuni	7	53	2	15	11	3	3
13256	NS-8962	human stool	Campylobacter jejuni	7	4	1	68	11	58	6
13257	NS-8988	human stool	Campylobacter jejuni	9	2	2	10	10	3	5
13258	NS-9205	human stool	Campylobacter jejuni	24	2	16	2	10	3	1
13259	NS-9266	human stool	Campylobacter jejuni	9	2	5	2	11	5	6
13260	NSC-8769	human stool	Campylobacter jejuni	9	17	5	10	350	3	3
13261	NSC-8903	human stool	Campylobacter jejuni	9	17	5	10	350	3	3
13262	TS-8602	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13263	TS-8630	human stool	Campylobacter jejuni	9	53	2	53	11	3	3
13264	TS-8634	human stool	Campylobacter jejuni	7	17	2	2	86	3	1
13265	TS-8689	human stool	Campylobacter jejuni	7	17	52	72	22	3	6
13266	TS-8813	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
13267	TS-8817	human stool	Campylobacter jejuni	9	17	5	10	350	3	3
13268	TS-8821	human stool	Campylobacter jejuni	9	2	1	10	22	3	6
13269	TS-8830	human stool	Campylobacter jejuni	7	2	5	2	10	3	6
13270	TS-8857	human stool	Campylobacter jejuni	7	17	2	2	86	3	1
13271	S04-013	human stool	Campylobacter jejuni	9	17	5	10	350	3	3
13272	NE04-018	human stool	Campylobacter jejuni	7	53	2	10	11	3	3
13273	S04-042	human stool	Campylobacter jejuni	9	2	1	10	22	3	6
13274	CH04-074	human stool	Campylobacter jejuni	24	2	2	2	10	289	1
13275	S04-072	human stool	Campylobacter jejuni	9	17	5	10	350	3	3
13276	S04-073	human stool	Campylobacter jejuni	9	17	5	10	350	3	3
13277	NE04-061	human stool	Campylobacter jejuni	14	21	2	10	86	3	6
13278	CH04-119	human stool	Campylobacter jejuni	9	2	2	10	10	59	5
13279	NE04-161	human stool	Campylobacter jejuni	7	53	2	10	11	3	3
13280	NE04-167	human stool	Campylobacter jejuni	24	30	2	2	89	59	6
13281	S04-190	human stool	Campylobacter jejuni	9	17	5	10	350	3	3
13282	NE04-163	human stool	Campylobacter jejuni	14	21	2	10	86	3	6
13283	S04-203	human stool	Campylobacter jejuni	9	2	2	2	10	3	1
13284	NE04-170	human stool	Campylobacter jejuni	24	30	2	2	89	59	6
13285	NE04-171	human stool	Campylobacter jejuni	24	30	2	2	89	59	6
13286	NE04-172	human stool	Campylobacter jejuni	24	30	2	2	89	59	6
13287	CH04-182	human stool	Campylobacter jejuni	55	17	5	53	11	3	6
13288	NE04-182	human stool	Campylobacter jejuni	55	17	2	2	86	3	1
13289	NE04-184	human stool	Campylobacter jejuni	55	17	2	2	86	3	1
13290	NE04-183	human stool	Campylobacter jejuni	55	17	2	2	86	3	1
13291	NE04-189	human stool	Campylobacter jejuni	7	53	5	10	11	3	3
13292	NE04-198	human stool	Campylobacter jejuni	7	2	2	72	22	102	6
13293	NE04-206	human stool	Campylobacter jejuni	9	2	1	10	22	3	6
13294	NE04-207	human stool	Campylobacter jejuni	9	2	1	10	22	3	6
13295	CH04-222	human stool	Campylobacter jejuni	9	17	5	10	350	3	3
13296	NE04-214	human stool	Campylobacter jejuni	9	17	5	10	11	3	3
13297	N04-058	human stool	Campylobacter jejuni	7	53	2	10	11	3	3
13298	NE04-221	human stool	Campylobacter jejuni	24	30	2	2	89	59	6
13299	NE04-222	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13300	NE04-240	human stool	Campylobacter jejuni	2	84	5	68	2	1	5
13301	NE04-247	human stool	Campylobacter jejuni	7	2	5	2	10	3	6
13302	N04-093	human stool	Campylobacter jejuni	24	2	213	72	22	3	210
13303	N04-094	human stool	Campylobacter jejuni	24	2	2	2	10	289	1
13304	N04-095	human stool	Campylobacter jejuni	24	2	213	72	22	3	210
13305	CH04-283	human stool	Campylobacter jejuni	9	53	2	10	11	3	3
13306	N04-102	human stool	Campylobacter jejuni	9	17	5	10	350	3	3
13307	N04-100	human stool	Campylobacter jejuni	9	17	5	10	350	3	3
13308	NE04-294	human stool	Campylobacter jejuni	24	30	5	2	22	3	6
13309	NE04-295	human stool	Campylobacter jejuni	9	30	5	2	89	59	6
13310	C04-245	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13311	NE04-301	human stool	Campylobacter jejuni	24	2	2	2	10	3	1
13312	NE04-305	human stool	Campylobacter jejuni	14	21	2	10	10	3	6
13313	NE04-306	human stool	Campylobacter jejuni	172	21	2	10	10	3	6
13314	NE04-314	human stool	Campylobacter jejuni	172	2	2	2	10	3	1
13315	CG04-K-0025	human stool	Campylobacter jejuni	24	2	2	2	151	3	1
13316	AUSMDU-CA-2011-0007		Campylobacter jejuni	237	165	254	340	433	485	349
13317	AUSMDU-CA-2011-0014		Campylobacter jejuni	2	4	84	459	126	25	57
13318	AUSMDU-CA-2011-0026		Campylobacter jejuni	18	33	22	460	586	486	6
13319	H1701	human stool	Campylobacter jejuni	1	1	42	4	3	58	351
13320	OXC622	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
13321	OXC623	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
13322	OXC624	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
13323	OXC625	human stool	Campylobacter jejuni	7	21	5	62	4	61	44
13324	OXC626	human stool	Campylobacter coli	33	39	30	82	104	44	17
13325	OXC628	human stool	Campylobacter jejuni	2	1	1	3	7	1	5
13326	OXC632	human stool	Campylobacter jejuni	2	1	1	3	7	1	5
13327	OXC633	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
13328	OXC634	human stool	Campylobacter jejuni	22	15	4	64	74	25	23
13329	OXC635	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
13330	OXC636	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
13331	OXC637	human stool	Campylobacter jejuni	6	4	5	2	2	1	5
13332	OXC638	human stool	Campylobacter coli	33	39	30	82	104	56	17
13333	OXC639	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
13334	OXC641	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
13335	OXC642	human stool	Campylobacter jejuni	8	1	6	3	11	1	1
13336	OXC643	human stool	Campylobacter jejuni	2	4	1	93	11	3	6
13337	OXC644	human stool	Campylobacter jejuni	2	21	5	37	60	1	5
13338	OXC645	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
13339	OXC647	human stool	Campylobacter jejuni	2	1	1	3	7	1	5
13340	OXC648	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
13341	OXC649	human stool	Campylobacter coli	33	39	30	82	113	47	17
13342	OXC650	human stool	Campylobacter jejuni	62	4	5	2	2	1	5
13343	OXC651	human stool	Campylobacter jejuni	4	7	40	4	42	51	1
13344	OXC652	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
13345	OXC653	human stool	Campylobacter coli	32	39	30	79	189	43	17
13346	OXC654	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
13347	OXC655	human stool	Campylobacter jejuni	7	84	42	62	11	67	6
13348	OXC656	human stool	Campylobacter jejuni	8	2	5	62	4	5	1
13349	OXC657	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
13350	OXC660	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
13351	OXC661	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
13352	OXC662	human stool	Campylobacter jejuni	6	4	5	2	2	1	5
13353	OXC663	human stool	Campylobacter jejuni	2	1	1	3	7	1	5
13354	OXC664	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
13355	OXC665	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
13356	OXC666	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
13357	OXC667	human stool	Campylobacter jejuni	9	25	2	10	23	3	6
13358	OXC668	human stool	Campylobacter jejuni	10	27	16	19	10	5	7
13359	OXC669	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
13360	OXC671	human stool	Campylobacter jejuni	2	4	1	4	19	62	5
13361	OXC675	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
13362	OXC676	human stool	Campylobacter jejuni	2	4	1	4	19	1	5
